Dataset,Pnumber,Cellline,Rawfile,Name
deep proteome of 9 cell lines,P003812,,00522_H05_P003812_B0P_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_H04_P003812_B0H_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_E05_P003812_B0M_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A04_P003812_B0A_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003813,,00522_D09_P003813_B0T_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A09_P003813_B0Q_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H07_P003813_B0H_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_E08_P003813_B0M_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_B07_P003813_B0B_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G07_P003813_B0G_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H08_P003813_B0P_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0I_A00_R1.raw,PC-3 cell
